Taxon,Strain,Accession ID,Originating Laboratory,Submitting Laboratory,Authors
India/GBRC157b/2020|2020-05-27,India/GBRC157b/2020,EPI_ISL_461487,B.J. Medical College and Civil hospital,Gujarat Biotechnology Research Centre,Priti Pandita et al
India/GBRC158/2020|2020-05-27,India/GBRC158/2020,EPI_ISL_461488,B.J. Medical College and Civil hospital,Gujarat Biotechnology Research Centre,Pragya Sharma et al
India/GBRC173a/2020|2020-06-05,India/GBRC173a/2020,EPI_ISL_467035,"GMERS Medical College and Hospital, Gandhinagar",Gujarat Biotechnology Research Centre,Pritesh Sabara et al
India/GBRC173b/2020|2020-06-05,India/GBRC173b/2020,EPI_ISL_467036,"GMERS Medical College and Hospital, Gandhinagar",Gujarat Biotechnology Research Centre,Apurvasinh Puvar et al
India/GBRC183a/2020|2020-06-03,India/GBRC183a/2020,EPI_ISL_467053,B.J. Medical College and Civil hospital,Gujarat Biotechnology Research Centre,Kamlesh J Upadhyay et al
India/GBRC183b/2020|2020-06-03,India/GBRC183b/2020,EPI_ISL_467054,B.J. Medical College and Civil hospital,Gujarat Biotechnology Research Centre,Nirav Mungalpara et al
India/GBRC187b/2020|2020-06-05,India/GBRC187b/2020,EPI_ISL_469030,"Government Medical College, Vadodara",Gujarat Biotechnology Research Centre,Monika Gandhi et al
India/GBRC188/2020|2020-06-05,India/GBRC188/2020,EPI_ISL_469031,"Government Medical College, Vadodara",Gujarat Biotechnology Research Centre,Pinal Trivedi et al
India/GBRC195a/2020|2020-06-08,India/GBRC195a/2020,EPI_ISL_469039,GMERS Medical College & Hospital,Gujarat Biotechnology Research Centre,Labdhi Pandya et al
India/GBRC195b/2020|2020-06-08,India/GBRC195b/2020,EPI_ISL_469040,GMERS Medical College & Hospital,Gujarat Biotechnology Research Centre,Snehal Bagatharia et al
India/GBRC196/2020|2020-06-08,India/GBRC196/2020,EPI_ISL_469041,GMERS Medical College & Hospital,Gujarat Biotechnology Research Centre,Meenakshi Shah et al
India/GBRC197/2020|2020-06-08,India/GBRC197/2020,EPI_ISL_469042,GMERS Medical College & Hospital,Gujarat Biotechnology Research Centre,Neena Doshi et al
India/GBRC198/2020|2020-06-08,India/GBRC198/2020,EPI_ISL_469043,Dr. N. D. Desai Medical College & Hospital,Gujarat Biotechnology Research Centre,J G Buch et al
India/GBRC199/2020|2020-06-08,India/GBRC199/2020,EPI_ISL_469044,Dr. N. D. Desai Medical College & Hospital,Gujarat Biotechnology Research Centre,Jigar Gusani et al
India/GBRC200/2020|2020-06-08,India/GBRC200/2020,EPI_ISL_469045,Dr. N. D. Desai Medical College & Hospital,Gujarat Biotechnology Research Centre,Supreet Prabhu et al
India/GBRC201a/2020|2020-06-08,India/GBRC201a/2020,EPI_ISL_469046,Dr. N. D. Desai Medical College & Hospital,Gujarat Biotechnology Research Centre,Tejas Shah et al
India/GBRC201b/2020|2020-06-08,India/GBRC201b/2020,EPI_ISL_469047,Dr. N. D. Desai Medical College & Hospital,Gujarat Biotechnology Research Centre,Ankit Hinsu et al
India/GBRC78b/2020|2020-05-05,India/GBRC78b/2020,EPI_ISL_447537,Gujarat Biotechnology Research Centre,Gujarat Biotechnology Research Centre,R D Dixit et al
India/ILSCV13929/2020|2020-05-10,India/ILSCV13929/2020,EPI_ISL_463026,"Institute of Life Sciences, Bhubaneswar","Immunogenomics lab, Institute of Life Sciences, Bhubaneswar",Sunil Raghav et al
India/ILSCV15552/2020|2020-05-11,India/ILSCV15552/2020,EPI_ISL_463037,"Institute of Life Sciences, Bhubaneswar","Immunogenomics lab, Institute of Life Sciences, Bhubaneswar",Sunil Raghav et al
India/ILSCV17568/2020|2020-05-12,India/ILSCV17568/2020,EPI_ISL_463056,"Institute of Life Sciences, Bhubaneswar","Immunogenomics lab, Institute of Life Sciences, Bhubaneswar",Sunil Raghav et al
India/ILSCV20557/2020|2020-05-15,India/ILSCV20557/2020,EPI_ISL_463078,"Institute of Life Sciences, Bhubaneswar","Immunogenomics lab, Institute of Life Sciences, Bhubaneswar",Sunil Raghav et al
India/ILSCV24694/2020|2020-05-18,India/ILSCV24694/2020,EPI_ISL_463087,"Institute of Life Sciences, Bhubaneswar","Immunogenomics lab, Institute of Life Sciences, Bhubaneswar",Sunil Raghav et al
India/ILSCV24917/2020|2020-05-18,India/ILSCV24917/2020,EPI_ISL_463088,"Institute of Life Sciences, Bhubaneswar","Immunogenomics lab, Institute of Life Sciences, Bhubaneswar",Sunil Raghav et al
India/NCDC-4155/2020|2020-04-12,India/NCDC-4155/2020,EPI_ISL_436449,National Centre for Disease control (NCDC),NCDC/CSIR-IGIB,Pramod Kumar# et al
India/NCDC-4879/2020|2020-04-16,India/NCDC-4879/2020,EPI_ISL_436463,National Centre for Disease control (NCDC),NCDC/CSIR-IGIB,Pramod Kumar# et al
India/NGC-CDFD-32/2020|2020-05-30,India/NGC-CDFD-32/2020,EPI_ISL_466870,National Genomics Core-Center for DNA Fingerprinting and Diagnostics,National Genomics Core- Center for DNA Fingerprinting and Diagnostics (NGC-CDFD)- DBT's PAN-INDIA-1000 Genome consortium,Bala Pratyusha et al
India/nimh-4378/2020|2020-04-24,India/nimh-4378/2020,EPI_ISL_436141,District Surveillance Unit,"Department of Neurovirology, National Institute of Mental Health and Neuroscience (NIMHANS)",Chitra Pattabiraman et al
India/NIV-12019/2020|2020-04-20,India/NIV-12019/2020,EPI_ISL_452199,NIV Influenza,NIV Influenza,Potdar V et al
India/NIV-9314/2020|2020-04-13,India/NIV-9314/2020,EPI_ISL_454558,NIV Influenza,NIV Influenza,Potdar V et al
India/S7/2020|2020-03-31,India/S7/2020,EPI_ISL_455641,ICMR-National Institute of Cholera and Enteric Diseases,National Institute of Biomedical Genomics,Arindam Maitra et al
Indonesia/EJ-ITD1238Sp/2020|2020-03-30,Indonesia/EJ-ITD1238Sp/2020,EPI_ISL_458079,Mitra Keluarga Hospital Kenjeran,"Institute of Tropical Disease, Universitas Airlangga",Aldise M Nastri et al
Indonesia/EJ-ITD3590NT/2020|2020-04-14,Indonesia/EJ-ITD3590NT/2020,EPI_ISL_437188,RSUD Dr. Soetomo,"Institute of Tropical Disease, Universitas Airlangga",Krisnoadi Rahardjo et al
Indonesia/JKT-EIJK03/2020|2020-03-27,Indonesia/JKT-EIJK03/2020,EPI_ISL_437191,RS Pondok Indah Hospital – Pondok Indah,"Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation",Edison Johar et al
Indonesia/JKT-EIJK07/2020|2020-04-24,Indonesia/JKT-EIJK07/2020,EPI_ISL_467376,RSUP Fatmawati,"Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation",Edison Johar et al
Indonesia/SMR-EIJK05/2020|2020-03-18,Indonesia/SMR-EIJK05/2020,EPI_ISL_467374,Dinkes Samarinda,"Eijkman Institute for Molecular Biology, Ministry of Research and Technology/National Agency for Research and Innovation",Edison Johar et al
Iran/HGRC-01-IPI-8206/2020|2020-03-09,Iran/HGRC-01-IPI-8206/2020,EPI_ISL_424349,"Human Genetic Research Center, Kawsar Biotech Company","Human Genetic Research Center, Kawsar Biotech Company",Zeinali et al
Iran/KHGRC-2-2162/2020|2020-03-26,Iran/KHGRC-2-2162/2020,EPI_ISL_442044,Kawsar Human Genetic Research Center,Kawsar Human Genetic Research Center,Mohammad Ali Khosravi et al
Iran/KHGRC-3-2178/2020|2020-03-26,Iran/KHGRC-3-2178/2020,EPI_ISL_445088,"Human Genetic Research Center, Kawsar Biotech Company","Human Genetic Research Center, Kawsar Biotech Company",Abbasalipour Bashash et al
Ireland/24042/2020|2020-03-10,Ireland/24042/2020,EPI_ISL_418583,UCD National Virus Reference Laboratory,UCD National Virus Reference Laboratory,Michael Carr et al
Ireland/Dublin-19072/2020|2020-03-02,Ireland/Dublin-19072/2020,EPI_ISL_414584,UCD National Virus Reference Laboratory,UCD National Virus Reference Laboratory,Michael Carr et al
Ireland/Limerick-19935/2020|2020-03-03,Ireland/Limerick-19935/2020,EPI_ISL_414587,UCD National Virus Reference Laboratory,UCD National Virus Reference Laboratory,Michael Carr et al
Israel/13075882/2020|2020-03-30,Israel/13075882/2020,EPI_ISL_447442,"Clinical Microbiology Laboratory, Sheba Medical Center",Stern Lab,Stern Lab et al
Israel/2020063/2020|2020-03-17,Israel/2020063/2020,EPI_ISL_447414,"Clinical Virology Unit, Hadassah Hebrew University Medical Center",Stern Lab,Stern Lab et al
Israel/CVL-n-12003/2020|2020-04-27,Israel/CVL-n-12003/2020,EPI_ISL_475009,Israel Central Virology laboratory,Israel Central Virology laboratory,Neta Zuckerman et al
Israel/CVL-n-13881/2020|2020-04-01,Israel/CVL-n-13881/2020,EPI_ISL_474968,Israel Central Virology laboratory,Israel Central Virology laboratory,Neta Zuckerman et al
Israel/CVL-n-7216/2020|2020-04-11,Israel/CVL-n-7216/2020,EPI_ISL_474963,Israel Central Virology laboratory,Israel Central Virology laboratory,Neta Zuckerman et al
Israel/CVL-n-8414/2020|2020-04-16,Israel/CVL-n-8414/2020,EPI_ISL_474983,Israel Central Virology laboratory,Israel Central Virology laboratory,Neta Zuckerman et al
Italy/206/2020|2020-02-22,Italy/206/2020,EPI_ISL_457699,"Department of Infectious Diseases, Istituto Superiore di Sanità, Roma , Italy",Army Medical and Veterinary Research Center,Paola Stefanelli et al
Italy/BG-5825-22Feb/2020|2020-02-22,Italy/BG-5825-22Feb/2020,EPI_ISL_460079,"Molecular Virology Unit, Fondazione IRCCS Policlinico San Matteo , Pavia","Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS",Barbara Bartolini et al
Italy/BG-7158-24Feb/2020|2020-02-24,Italy/BG-7158-24Feb/2020,EPI_ISL_460081,"Molecular Virology Unit, Fondazione IRCCS Policlinico San Matteo , Pavia","Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS",Fausto Baldanti et al
Italy/CDG1/2020|2020-02-20,Italy/CDG1/2020,EPI_ISL_412973,"Department of Infectious Diseases, Istituto Superiore di Sanità, Roma , Italy","Virology Laboratory, Scientific Department, Army Medical Center",Paola Stefanelli et al
Italy/INMI1-B1/2020|2020-02-12,Italy/INMI1-B1/2020,EPI_ISL_451298,"Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS","Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS",Cesare E.M. Gruber et al
Italy/INMI1-B2/2020|2020-02-04,Italy/INMI1-B2/2020,EPI_ISL_451299,"Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS","Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS",Martina Rueca et al
Italy/INMI1-isl/2020|2020-01-29,Italy/INMI1-isl/2020,EPI_ISL_410545,INMI Lazzaro Spallanzani IRCCS,"Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS",Maria R. Capobianchi et al
Italy/INMI1-N/2020|2020-02-03,Italy/INMI1-N/2020,EPI_ISL_451300,"Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS","Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS",Cesare E.M. Gruber et al
Italy/INMI2-B/2020|2020-02-03,Italy/INMI2-B/2020,EPI_ISL_451301,"Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS","Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS",Martina Rueca et al
Italy/INMI2-N/2020|2020-01-30,Italy/INMI2-N/2020,EPI_ISL_451302,"Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS","Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS",Cesare E.M. Gruber et al
Italy/MI-5925-22Feb/2020|2020-02-22,Italy/MI-5925-22Feb/2020,EPI_ISL_460091,"Molecular Virology Unit, Fondazione IRCCS Policlinico San Matteo , Pavia","Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS",Antonino Di Caro et al
Italy/PV-5314-B/2020|2020-02-21,Italy/PV-5314-B/2020,EPI_ISL_451306,"Molecular Virology Unit, Fondazione IRCCS Policlinico San Matteo , Pavia","Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS",Antonio Piralla et al
Italy/PV-5314-N/2020|2020-02-21,Italy/PV-5314-N/2020,EPI_ISL_451307,"Molecular Virology Unit, Fondazione IRCCS Policlinico San Matteo , Pavia","Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS",Fausto Baldanti et al
ITALY/SardiniaNuoroCOV28/2020|2020-04-12,ITALY/SardiniaNuoroCOV28/2020,EPI_ISL_458085,"Laboratorio Biologia Molecolare Sars Cov2 - UOC Laboratorio Analisi - Servizio Medicina di Laboratorio , Ospedale ""San Francesco"" - ATS- ASSL Nuoro","Laboratorio specialistico UOC Ematologia - Ospedale ""San Francesco"" - ATS-ASSL Nuoro",Piras Giovanna et al
Italy/SPL1/2020|2020-01-29,Italy/SPL1/2020,EPI_ISL_412974,"Department of Infectious Diseases, Istituto Superiore di Sanità, Rome, Italy","Virology Laboratory, Scientific Department, Army Medical Center",Paola Stefanelli et al
Italy/VR_20COV46-8/2020|2020-04-03,Italy/VR_20COV46-8/2020,EPI_ISL_452190,ULSS9 Distretto di San Bonifacio,Istituto Zooprofilattico Sperimentale delle Venezie,Adelaide Milani et al
Jamaica/JM-CDC-0869/2020|2020-03-09,Jamaica/JM-CDC-0869/2020,EPI_ISL_450793,Jamaica Ministry of Health and Wellness,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al
Jamaica/JM-CDC-4376/2020|2020-03-11,Jamaica/JM-CDC-4376/2020,EPI_ISL_450794,Jamaica Ministry of Health and Wellness,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al
Jamaica/JM-CDC-6729/2020|2020-03-16,Jamaica/JM-CDC-6729/2020,EPI_ISL_450798,Jamaica Ministry of Health and Wellness,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al
Japan/AI-I-004/2020|2020-01-25,Japan/AI-I-004/2020,EPI_ISL_407084,"Department of Virology III, National Institute of Infectious Diseases","Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al
Japan/Donner27/2020|2020-04-24,Japan/Donner27/2020,EPI_ISL_438971,Keio University School of Medicine,Keio University School of Medicine,Kenjiro Kosaki et al
Japan/Donner32/2020|2020-05-03,Japan/Donner32/2020,EPI_ISL_469290,Keio University Hospital,Keio University Hospital,Kenjiro Kosaki et al
Japan/Donner34/2020|2020-05-07,Japan/Donner34/2020,EPI_ISL_469292,Keio University Hospital,Keio University Hospital,Kenjiro Kosaki et al
Japan/Donner36/2020|2020-05-11,Japan/Donner36/2020,EPI_ISL_469294,Keio University Hospital,Keio University Hospital,Kenjiro Kosaki et al
Japan/Donner37/2020|2020-05-14,Japan/Donner37/2020,EPI_ISL_469295,Keio University Hospital,Keio University Hospital,Kenjiro Kosaki et al
Japan/Donner6/2020|2020-04-06,Japan/Donner6/2020,EPI_ISL_438951,Keio University School of Medicine,Keio University School of Medicine,Kenjiro Kosaki et al
Japan/DP0059/2020|2020-02-15,Japan/DP0059/2020,EPI_ISL_416569,Japanese Quarantine Stations,"Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al
Japan/DP0196/2020|2020-02-15,Japan/DP0196/2020,EPI_ISL_416583,Japanese Quarantine Stations,"Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al
Japan/DP0200/2020|2020-02-15,Japan/DP0200/2020,EPI_ISL_416584,Japanese Quarantine Stations,"Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al
Japan/DP0287/2020|2020-02-16,Japan/DP0287/2020,EPI_ISL_416589,Japanese Quarantine Stations,"Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al
Japan/DP0357/2020|2020-02-16,Japan/DP0357/2020,EPI_ISL_416598,Japanese Quarantine Stations,"Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al
Japan/DP0464/2020|2020-02-16,Japan/DP0464/2020,EPI_ISL_416603,Japanese Quarantine Stations,"Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al
Japan/DP0588/2020|2020-02-17,Japan/DP0588/2020,EPI_ISL_416610,Japanese Quarantine Stations,"Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al
Japan/DP0645/2020|2020-02-17,Japan/DP0645/2020,EPI_ISL_416612,Japanese Quarantine Stations,"Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al
Japan/DP0743/2020|2020-02-17,Japan/DP0743/2020,EPI_ISL_416621,Japanese Quarantine Stations,"Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al
Japan/DP0763/2020|2020-02-17,Japan/DP0763/2020,EPI_ISL_416623,Japanese Quarantine Stations,"Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al
Japan/DP0803/2020|2020-02-17,Japan/DP0803/2020,EPI_ISL_416630,Japanese Quarantine Stations,"Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al
Japan/DP0880/2020|2020-02-17,Japan/DP0880/2020,EPI_ISL_416633,Japanese Quarantine Stations,"Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al
Japan/Hu_DP_Kng_19-031/2020|2020-02-14,Japan/Hu_DP_Kng_19-031/2020,EPI_ISL_420889,Takayuki Hishiki Kanagawa Prefectural Institute of Public Health,Takayuki Hishiki Kanagawa Prefectural Institute of Public Health,Hishiki et al
Japan/Hu_Kng_19-437/2020|2020-03-09,Japan/Hu_Kng_19-437/2020,EPI_ISL_420890,Takayuki Hishiki Kanagawa Prefectural Institute of Public Health,Takayuki Hishiki Kanagawa Prefectural Institute of Public Health,Hishiki et al
Japan/KY-V-029/2020|2020-01-29,Japan/KY-V-029/2020,EPI_ISL_408669,"Dept. of Virology III, National Institute of Infectious Diseases","Pathogen Genomics Center, National Institute of Infectious Diseases",Tsuyoshi Sekizuka et al
